Last_Watched,Frequent_Watch,Reason_of_Watch,Frequent_Go_Cinema,Factors,  underrated geners, Action_Rate,Adventure_Rate,Comedy_Rate,Drama_Rate, Romance_Rate,Horror_Rate,Sci-fi_Rate,Musical_Rate,Family_Rate,Search_Before_Watch,Ads_effect,Usually_Disappoint,Cast,Genre,Director,Studio ,Reviews,Quality_ Story,Watching_Place,Why watching  home instead of cinema?, setup watching home, usuall way to watch movies at home, favorite Streaming Platform, Age, Major, Gender.,Critical Reviews,Friends' Opinions ,Internet Sites,TV Entertainment Programs
Less than a week,Three or four times,Social Media,Once a month,Directing,no there is not ,1,1,2,4,2,4,2,2,3,Sometimes,Internet Sites,Almost Always,2,3,2,3,1,3,Home,Home,NO I DON'T ,Downloaded from the Internet,i usually download movies ,20,Data Science,Male,0,0,0,1
Less than a week,More than four times,Social Media,Once a month,Directing,some old horror movies are underrated ,4,4,5,5,4,4,4,3,4,Sometimes,Internet Sites,Sometimes,5,4,5,4,5,5,Home,more comfortable ,my room,Downloaded from the Internet,HDO Box,20,Data Science,Male,0,0,0,0
This month,Less than once,Social Media,I don't go to the Cinema,Quality of Story,no,5,4,5,5,2,1,5,1,3,Sometimes,Internet Sites,Sometimes,4,5,2,2,4,5,Home,because no money,on my laptop,Downloaded from the Internet,Soap2day,20,Data Science,Male,0,0,0,0
This month,Once or twice,Social Media,I don't go to the Cinema,Acting,???? 1000 ????? ,4,5,4,2,2,5,5,5,3,Usually ,Internet Sites,Sometimes,5,4,4,5,4,5,Home,??? ???? ?????? ?? ???? ,?? ????? ,Downloaded from the Internet,Netflix ,20,Data Science,Male,0,0,0,0
This month,Once or twice,Internet Sites,I don't go to the Cinema,Quality of Story,??????? ???????,2,3,5,4,2,1,4,2,5,Usually ,Internet Sites,Sometimes,2,3,3,4,4,5,Home,???????? ?? ???? ????? ????? ???? ?? ????? ?????????,?? ???? ????,Downloaded from the Internet,????,20,Data Science,Male,0,0,0,0
Last Month,Once or twice,Recommended ,Once or Twice a year,Quality of Story,dramatic movies ,1,3,3,3,2,1,3,2,3,Usually ,Viral Videos,Sometimes,2,4,1,3,4,5,Home,Just easier ,my room + snacks,Downloaded from the Internet,Egybest,20,Data Science,Male,0,0,1,0
Less than a week,Three or four times,Social Media,I don't go to the Cinema,Quality of Story,The scent of a woman,3,3,1,3,3,3,2,1,1,Never,Trailers,Sometimes,4,3,4,4,2,5,Home,Easy and comfortable ,Having something to eat or to drink ,Downloaded from the Internet,Egybest ,20,Data Science,Male,0,0,0,0
This month,Once or twice,Recommended ,Once or Twice a year,Quality of Story,To all the boys,2,2,3,3,3,4,2,2,2,Usually ,Internet Sites,Sometimes,3,4,2,2,5,5,Home,Because its much easier to watch them online and I am more of a series guy.,I like to close all the lights and watch alone with my headphones to have the best experience and to focus deeply in the movie.,Downloaded from the Internet,Netflix,20,Data Science,Male,0,0,0,0
Less than a week,More than four times,Recommended ,Once or Twice a year,Quality of Story,No,5,5,4,4,2,5,5,1,4,Never,Merchandising,Sometimes,3,4,1,1,4,5,Home,It's easier and has a different atmosphere to it,I watch on the couch ,On TV,Shahid,20,Data Science,Male,0,0,0,0
Last Month,Once or twice,Social Media,Once or Twice a year,Acting,Underrated ,5,5,4,4,5,5,5,1,1,Usually ,Trailers,Sometimes,5,4,3,3,3,3,Home,More easy,Nothing ,Downloaded from the Internet,From the internet ,20,Data Science,Male,0,0,0,0
I don't watch movies often,Less than once,Recommended ,I don't go to the Cinema,Quality of Story,no,3,5,3,4,4,5,5,1,3,Usually ,Viral Videos,Sometimes,1,3,1,4,3,5,Home,More comfortable,Nothing special,Downloaded from the Internet,anime slayer : got high quality anime and most of them is available and free ,20,Data Science,Male,0,0,0,0
Last Month,Three or four times,Social Media,I don't go to the Cinema,Quality of Story,Comedy ,3,4,2,4,4,2,5,1,3,Usually ,Internet Sites,Sometimes,3,5,1,2,3,5,Home,It's more pruvet and more comfort," Making popcorn, drinking Pepsi, setting in my room alone  and closing the light ",Downloaded from the Internet,"Cima4u, egybest",20,Data Science,Male,0,0,0,0
Less than a week,More than four times,Social Media,I don't go to the Cinema,Quality of Story,No,2,2,4,5,5,3,5,2,4,Sometimes,Internet Sites,Sometimes,5,4,2,3,4,5,Home,I don't like to leave the house and also because I feel more comfortable watching the movie at home,No I see the movie in my room on laptop or my phone ,Downloaded from the Internet,"Drama slayer, egybest,viki",20,Data Science,Female,0,0,1,0
Less than a week,More than four times,TV time,I don't go to the Cinema,Quality of Story,No,3,3,4,3,5,4,5,3,4,Sometimes,Trailers,Never,5,3,4,3,4,2,Home,Comfortable and I can watch anything and anytime I want ,No,Downloaded from the Internet,Netflix ,19,Space Technology,Male,0,0,0,0
I don't watch movies often,Less than once,Social Media,Once or Twice a year,Quality of Story,No ,3,3,1,1,1,2,2,1,1,Never,Internet Sites,Sometimes,4,5,3,4,4,5,Home,Quiet ,Tv,Downloaded from the Internet,,19,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Social Media,I don't go to the Cinema,Quality of Story,Romance,4,4,2,5,5,5,4,3,2,Never,Trailers,Sometimes,4,3,3,4,3,5,Home,Easy to reach and comfortable ,My bed and my tablet ,Downloaded from the Internet,Egybest ,19,Space Technology,Male,0,0,0,0
Less than a week,Less than once,Trailers,Once or Twice a year,Quality of Story,Idk,5,4,1,1,3,3,1,1,1,Sometimes,Trailers,Almost Always,5,5,5,5,3,5,Home,I don’t prefer ,Bringing snacks ,Downloaded from the Internet,Egybest,20,Data Science,Female,0,0,1,0
