Last_Watched,Frequent_Watch,Reason_of_Watch,Frequent_Go_Cinema,Factors,  underrated geners, Action_Rate,Adventure_Rate,Comedy_Rate,Drama_Rate, Romance_Rate,Horror_Rate,Sci-fi_Rate,Musical_Rate,Family_Rate,Search_Before_Watch,Ads_effect,Usually_Disappoint,Cast,Genre,Director,Studio ,Reviews,Quality_ Story,Watching_Place,Why watching  home instead of cinema?, setup watching home, usuall way to watch movies at home, favorite Streaming Platform, Age, Major, Gender.,Critical Reviews,Friends' Opinions ,Internet Sites,TV Entertainment Programs
Less than a week,Three or four times,Social Media,Once or Twice a year,Directing,Fiction movies ,4,5,3,3,4,5,3,1,3,Sometimes,Internet Sites,Sometimes,5,3,1,1,5,4,Home,"Skip unnecessary scenes, more comfy "," Smart television , room ",Downloaded from the Internet,any available site ,20,Data Science,Female,0,1,0,0
Less than a week,Once or twice,Internet Sites,Once or Twice a year,Acting,Most of DC movies,5,4,2,4,3,4,3,1,1,Sometimes,Internet Sites,Usually,3,5,2,1,3,4,Home,It easy to watch in home,No,Downloaded from the Internet,Net flex,19,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Social Media,Once or Twice a year,Quality of Story,Crime and thriller ,5,4,1,1,1,3,4,1,3,Usually ,Trailers,Sometimes,4,5,2,3,3,5,Home,Mainly the convenience ,"No just a very humble 1080p just shy of 50"" tv and occasionally I watch on my laptop or my phone",Downloaded from the Internet,I think you mean piratcy website but usually my go-to is arabseed,19,Cyber Security,Male,0,0,0,0
Less than a week,Once or twice,Trailers,I don't go to the Cinema,Quality of Story,No,5,4,2,2,2,3,4,2,1,Usually ,Internet Sites,Sometimes,4,4,3,4,5,4,Home,Because the cinema need many arrangements.. in home just take my phone and open the website ,No in my office ,Downloaded from the Internet,Egybest-good please  you_??.. Netflix.. watch,21,Data Science,Male,0,0,1,0
Less than a week,Once or twice,Recommended ,I don't go to the Cinema,Quality of Story,Musical ,3,3,3,2,1,1,4,4,3,Usually ,Internet Sites,Sometimes,4,3,3,4,4,4,Home,More comfortable ,Nothing ,Downloaded from the Internet,,20,Data Science,Female,0,0,0,0
This month,Once or twice,Social Media,Once or Twice a year,Quality of Story,?? ?????? ???? ,3,3,4,2,5,2,5,5,5,Sometimes,Internet Sites,Usually,5,5,2,2,4,5,Home,???? ???? ????? ? ?? ???? ????,?? ?????? ???? ????? . ????? ??? ??????? ?? ?? ????????? ???? ,Downloaded from the Internet,???? ( ??? ???? / ???? ??? ?? / ???? ???),19,Data Science,Female,0,0,0,0
Less than a week,Once or twice,Internet Sites,Once or Twice a year,Directing,I don't think that,4,5,3,4,5,3,5,1,2,Usually ,Trailers,Sometimes,4,3,4,1,1,5,Home,There is no cost in home ,No setup and. no room or equipment ,Downloaded from the Internet,Egybest,20,Data Science,Male,0,0,0,0
Less than a week,Three or four times,Trailers,I don't go to the Cinema,Acting,Old classic movies,5,3,2,4,5,5,4,1,1,Usually ,Trailers,Sometimes,4,2,5,5,5,5,Home,Home,I love watching movies in my room ,Downloaded from the Internet,Shahd4u,20,Data Science,Male,0,1,0,0
This month,Less than once,Trailers,Once or Twice a year,Genre,Yes sci fi is underappreciated ,5,5,1,1,1,1,4,1,1,Sometimes,Print Advertising ,Sometimes,5,5,2,5,5,5,Home,Feel more comfy ,No,Downloaded from the Internet,,21,Data Science,Male,0,0,1,0
Less than a week,More than four times,Trailers,I don't go to the Cinema,Quality of Story,???? ???? ,1,2,3,2,1,1,3,2,3,Sometimes,Trailers,Usually,5,1,3,2,4,5,Home,"at hoom , very comfortable ","Yes, i have a special room to watching movies",On TV,Downloading by My computer ,19,Teaching,Female,0,0,0,0
I don't watch movies often,Less than once,Loving a certain actor ,I don't go to the Cinema,Acting,Mystery ,3,5,5,5,5,3,5,2,3,Usually ,Trailers,Sometimes,5,5,1,1,3,5,Home,It's more comfortable and make me to choose the most suitable time for me.,Only watching ,Downloaded from the Internet,,20,Data Science,Male,0,0,1,0
Less than a week,Three or four times,Social Media,Once or Twice a year,Acting,I think musical ones can be so cool but not all people like music so..?????,1,3,2,3,3,3,3,2,3,Usually ,Viral Videos,Sometimes,4,5,1,3,5,5,Home,I think i like being comfortable in my on bed watching and making comments in my own way without being judged from the people around me,"No, i don't",Downloaded from the Internet,"That's a hard question, i don't have a specific site or platforms ?? and i would be glad if u recommend one??",19,Agriculture ,Female,0,0,1,0
This month,Once or twice,Social Media,Once or Twice a year,Quality of Story,??????? ??????? ,3,3,5,3,3,5,5,3,3,Never,Internet Sites,Sometimes,2,4,1,1,1,4,Home,???? ???? ??? ???????? ? ??? ??????,????? ??????? ,Downloaded from the Internet,???? ,23,Engineering ,Female,0,0,0,0
I don't watch movies often,Three or four times,Internet Sites,I don't go to the Cinema,Quality of Story,?? ????? ,1,3,4,4,4,4,4,3,4,Sometimes,Internet Sites,Never,2,4,1,1,4,4,Home,????? ???? ????,?? ,Downloaded from the Internet,Egybest ,21,Data Science,Female,0,1,0,0
Less than a week,More than four times,Social Media,Once or Twice a year,Genre,Family underrated ,4,4,2,3,4,3,1,1,3,Sometimes,Viral Videos,Usually,4,2,1,1,4,4,Home,Money and home any time i can watch,No,Downloaded from the Internet,"Google,telegram",20,Science,Female,0,0,1,0
Less than a week,Three or four times,Recommended ,I don't go to the Cinema,Genre,Fantasy,4,1,4,2,2,5,1,5,4,Sometimes,Trailers,Sometimes,3,1,5,5,2,2,Home,I don't like watching in a large number of people,On laptop ,Downloaded from the Internet,Egy best ,19,Space Technology,Female,0,1,0,0
This month,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,No,5,4,3,1,1,5,1,1,1,Sometimes,Internet Sites,Sometimes,3,1,3,2,2,5,Home,Home sweet home ,No,Downloaded from the Internet,Egybest,20,Data Science,Male,0,0,1,0
Last Month,Less than once,Social Media,I don't go to the Cinema,Quality of Story,Yes,4,3,5,4,5,2,3,1,5,Sometimes,Viral Videos,Sometimes,5,4,4,2,4,5,Home,It's save time,"Snacks, No at any room",Downloaded from the Internet,Egybest,19,Data Science,Female,0,1,0,0
This month,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,?? ?????,1,2,3,5,5,1,1,1,1,Usually ,Internet Sites,Sometimes,1,1,3,3,3,4,Home,?? ????? ???? ,??? ????? ????,Downloaded from the Internet,??? ???,20,Teaching,Female,0,0,0,0
Less than a week,Less than once,Recommended ,I don't go to the Cinema,Quality of Story,I have no idea,3,4,2,1,2,2,4,1,1,Sometimes,Viral Videos,Usually,4,4,4,2,4,5,Home,I love home ,Just tv or my laptop with popcorn ,Downloaded from the Internet,egybest,20,Data Science,Female,0,0,0,0
This month,Once or twice,Recommended ,Once or Twice a year,Directing,Mystery ,3,4,2,5,3,3,5,1,2,Sometimes,Internet Sites,Sometimes,5,3,5,3,3,4,Home,Not all movies are worth watching at the cinema.,Simply in my bedroom at night with my brother or friend.,Downloaded from the Internet,Netflix,20,Data Science,Male,0,0,0,0
I don't watch movies often,Once or twice,Recommended ,Once or Twice a year,Quality of Story,No,1,5,3,4,4,2,4,1,3,Usually ,Trailers,Sometimes,4,5,2,2,5,5,Home,I like watching movies at home because I feel more free and can control the volume and take a break anytime I want.,I prepare snacks popcorn and nescafe.,Downloaded from the Internet,,21,Data Science,Female,0,0,0,0
Less than a week,Once or twice,Recommended ,Once or Twice a year,Quality of Story,drama,5,5,5,2,1,1,4,1,4,Sometimes,Internet Sites,Sometimes,4,5,3,3,4,5,Home,because the cenima is cost and far from my home,i have a laptop. yes i have my room,Downloaded from the Internet,mycima and egybest ,21,Data Science,Male,0,0,0,0
This month,Once or twice,Trailers,I don't go to the Cinema,Genre,No,5,5,3,3,4,1,3,2,5,Sometimes,Internet Sites,Never,3,5,1,1,4,3,Home,To watch it with the family ,Yes there os a special room,Downloaded from the Internet,Egybest ,20,Data Science,Female,0,0,0,0
This month,Three or four times,Recommended ,I don't go to the Cinema,Quality of Story,Nope,3,4,1,5,1,4,1,1,3,Usually ,Trailers,Sometimes,4,5,3,3,4,5,Home,"Lazy, also more Comfortable at home",No just a regular tv,Downloaded from the Internet,Netflix ,19,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Recommended ,Once or Twice a year,Quality of Story,No answer ,5,5,4,4,3,2,2,2,2,Sometimes,Viral Videos,Usually,5,5,4,4,3,2,Home,Not tired,No answer ,On TV,No answer ,20,Data Science,Male,1,0,0,0
Less than a week,Three or four times,Recommended ,Once a month,Quality of Story,Family ,5,3,5,3,3,5,4,3,1,Usually ,Print Advertising ,Sometimes,4,3,5,3,4,5,Home,More comfortable ,No,Downloaded from the Internet,,20,Data Science,Male,0,0,0,0
This month,Three or four times,Social Media,Once or Twice a year,Quality of Story,Family,3,4,5,4,2,1,5,2,5,Sometimes,Internet Sites,Sometimes,4,5,1,1,4,4,Home,Movies I want to watch are not always fun in cinemas ,No,Downloaded from the Internet,Akwam,20,Data Science,Female,0,0,0,0
This month,Once or twice,Recommended ,Once or Twice a year,Quality of Story,Musical ,5,4,3,5,5,5,4,2,3,Usually ,Internet Sites,Sometimes,5,4,3,3,3,4,Home,More comfortable ,my room ,Downloaded from the Internet,Netflix ,20,Data Science,Female,0,0,0,0
Less than a week,Three or four times,Social Media,I don't go to the Cinema,Acting,..,4,4,3,5,3,2,4,5,3,Usually ,Trailers,Sometimes,1,3,1,1,4,4,Home,I don't like cinema because alot of people are there,My cima ,Downloaded from the Internet,"Mycima, egybest in the past",20,Science,Female,0,0,1,0
Less than a week,Less than once,Social Media,I don't go to the Cinema,Acting,Musical,2,3,5,3,4,1,3,1,1,Usually ,Viral Videos,Usually,3,5,2,1,4,5,Home,"More quite, can stop movie as i can and rewatch it many times without much cost","Mobile or tablet . No, l don't have, any where in my home is good",Downloaded from the Internet,Websites like Egybest or telegram ,20,Data Science,Female,0,0,0,0
Less than a week,Less than once,Social Media,I don't go to the Cinema,Quality of Story,Science fiction and adventure,1,5,4,4,4,3,5,2,2,Usually ,Internet Sites,Sometimes,3,5,2,2,4,5,Home,Cinema is expensive and home is cozy to watch while eating snacks and sitting comfortably ,No just tv,Downloaded from the Internet,Egybest ???? ??? ????? ??,20,Graphic Design,Female,0,0,0,0
Less than a week,Three or four times,Social Media,I don't go to the Cinema,Acting,"Forgotten, insidious",2,1,3,2,1,3,2,2,2,Usually ,Viral Videos,Sometimes,3,5,3,3,4,5,Home,To prepare my favourite environment for watching ,Smart TV or laptop,Downloaded from the Internet,Egybest?????,20,Data Science,Female,0,0,0,0
Last Month,Once or twice,Recommended ,Once or Twice a year,Quality of Story,No I don't think that there's something underrated ,3,3,2,4,3,5,1,1,2,Usually ,Trailers,Usually,5,5,2,1,5,5,Home,"So that whenever I want to watch a movie it's easy? I don't have to wait some time so that I'm able to go to the cinema ",No,Downloaded from the Internet,Wherever i find movies,21,Data Science,Female,0,0,0,0
This month,Once or twice,Social Media,Once or Twice a year,Quality of Story,Family,3,4,5,5,5,4,3,3,5,Sometimes,Internet Sites,Sometimes,5,5,3,3,5,5,Home,No reason,Snacks,Downloaded from the Internet,Egybest,20,Data Science,Female,0,0,0,0
Less than a week,Less than once,Internet Sites,I don't go to the Cinema,Quality of Story,"No, there are not",3,4,3,4,3,1,3,3,3,Usually ,Internet Sites,Almost Always,3,4,2,1,4,4,Home,I can watch any movie i want at the time i want,No,Downloaded from the Internet,,19,Data Science,Male,0,0,0,0
Less than a week,Once or twice,Social Media,I don't go to the Cinema,Quality of Story,musical films,3,3,4,2,3,4,4,1,4,Never,Internet Sites,Sometimes,5,4,1,1,5,5,Home,more comfortable to me ,I watch in my bed room with popcorn ,On TV,,19,Data Science,Female,0,0,0,0
Less than a week,Less than once,Recommended ,I don't go to the Cinema,Acting,Musical and Historical,5,3,5,4,4,1,2,2,4,Sometimes,Internet Sites,Sometimes,5,5,1,3,3,5,Home,Because there is no noise in the house and this makes me feel more enjoying the movie,nothing,Downloaded from the Internet,Egybest,20,Data Science,Female,0,0,0,0
Last Month,Once or twice,Recommended ,Once or Twice a year,Acting,Yes,5,5,5,2,2,3,2,1,2,Usually ,Internet Sites,Sometimes,5,4,3,3,5,5,Home,Because that I can watch any time I want and it cheaper than cinema ,Comedy and Action in my room,Downloaded from the Internet,Egybest,19,Nursing,Female,1,0,0,0
Last Month,Once or twice,Recommended ,I don't go to the Cinema,Quality of Story,No,2,2,3,3,1,1,3,1,1,Usually ,Trailers,Sometimes,1,4,1,1,1,1,Home,Githoffko,Hi the fciy,Downloaded from the Internet,Yuvdukvd,19,Media,Female,0,0,1,0
Last Month,Less than once,Recommended ,I don't go to the Cinema,Quality of Story,I don't think ,2,2,5,4,4,2,1,1,5,Usually ,Internet Sites,Sometimes,5,5,1,1,1,3,Home,More comfortable ,No,Downloaded from the Internet,Any thing,19,Data Science,Female,0,0,1,0
Last Month,Once or twice,Internet Sites,Once or Twice a year,Quality of Story,Psychological / ,2,3,4,5,5,1,5,3,4,Usually ,Internet Sites,Sometimes,3,5,2,1,5,5,Home,Going to cinema costs a lot,"Setting in my room , turn off the light  and have a drink and any thing to eat",Downloaded from the Internet,Telegram / egybest,20,Nursing,Female,0,0,0,0
