Last_Watched,Frequent_Watch,Reason_of_Watch,Frequent_Go_Cinema,Factors,  underrated geners, Action_Rate,Adventure_Rate,Comedy_Rate,Drama_Rate, Romance_Rate,Horror_Rate,Sci-fi_Rate,Musical_Rate,Family_Rate,Search_Before_Watch,Ads_effect,Usually_Disappoint,Cast,Genre,Director,Studio ,Reviews,Quality_ Story,Watching_Place,Going_Cinema,Seats and Snacks effect enjoying movie, Age, Major, Gender.,Critical Reviews,Friends' Opinions ,TV Entertainment Programs,Internet Sites,best time(c),best day(c)
Last Month,Once or twice,Recommended ,Once or Twice a year,Quality of Story,"Yes , adventure movies",5,5,3,4,4,3,5,3,4,Sometimes,Trailers,Sometimes,5,5,4,3,4,5,In the Cinema,Weekday - Afternoon,Yes,20,Data Science,Female,0,0,0,0, Afternoon,Weekday 
Less than a week,Three or four times,Social Media,Once a month,Quality of Story,Wanted,4,4,3,3,4,1,3,2,2,Sometimes,Viral Videos,Sometimes,5,4,2,4,2,5,In the Cinema,Weekend - Evening,Yes,23,Data Science,Male,0,0,0,0, Evening,Weekend 
Less than a week,Less than once,Social Media,Once or Twice a year,Directing,Fantasy movies ,1,2,4,2,3,1,5,1,1,Sometimes,Viral Videos,Usually,5,4,5,1,4,5,In the Cinema,Weekday - Afternoon,No,20,Graphic Design,Female,0,0,0,1, Afternoon,Weekday 
This month,Three or four times,Social Media,Once a month,Quality of Story,Fantasy,3,4,3,3,2,4,5,3,2,Usually ,Internet Sites,Sometimes,5,4,3,2,4,5,In the Cinema,Weekday - Evening,Yes,20,Data Science,Male,0,0,0,0, Evening,Weekday 
Less than a week,Less than once,Trailers,Once a month,Quality of Story,No,1,2,3,1,3,1,2,1,2,Usually ,Print Advertising ,Almost Always,1,2,1,1,3,5,In the Cinema,Weekday - Evening,No,20,Data Science,Male,0,0,1,0, Evening,Weekday 
Last Month,Once or twice,Internet Sites,Once or Twice a year,Directing,Psychological horror,3,4,4,5,3,5,2,1,2,Usually ,Internet Sites,Sometimes,4,5,4,1,3,5,In the Cinema,Weekday - Afternoon,No,20,Data Science,Male,0,0,0,1, Afternoon,Weekday 
This month,Three or four times,Trailers,Once or Twice a year,Directing,Musical films,3,4,5,5,4,1,2,3,3,Usually ,Trailers,Sometimes,4,1,5,4,2,4,In the Cinema,Weekend - Afternoon,No,19,Data Science,Male,0,0,0,0, Afternoon,Weekend 
This month,Once or twice,Social Media,Once or Twice a year,Quality of Story,No,2,5,3,5,2,3,5,1,2,Sometimes,Viral Videos,Sometimes,4,4,1,1,5,5,In the Cinema,Weekend - Evening,Yes,20,Data Science,Female,0,0,0,0, Evening,Weekend 
